"","cluster","type","scores"
"1","4","Natural killer  cells",40971.3096247367
"2","0","Naive CD4+ T cells",39988.1738976098
"3","9","Hepatocytes",12801.6147723122
"4","13","Endothelial cells",30896.4393872366
"5","8","Non-classical monocytes",26267.9043665789
"6","1","Non-classical monocytes",62139.4468692134
"7","32","Non-classical monocytes",1084.75345107182
"8","2","Effector CD8+ T cells",33109.4415783838
"9","3","Liver progenitor cell",16200.0075355061
"10","15","Liver progenitor cell",4330.59783400483
"11","5","Hepatocytes",6015.05508362165
"12","21","Effector CD8+ T cells",3192.71341817422
"13","22","Memory B cells",8241.35886324538
"14","29","Non-classical monocytes",2777.55619811433
"15","12","Cancer stem cells",3536.95532294337
"16","17","Plasmacytoid Dendritic cells",11588.6517207424
"17","14","Memory B cells",20243.6862970462
"18","28","Basophils",15755.3307726315
"19","20","Endothelial cells",3564.35195012411
"20","19","Hepatocytes",16155.9631117238
"21","30","Non-classical monocytes",959.106088174196
"22","31","Plasmacytoid Dendritic cells",776.194720539849
"23","16","Effector CD8+ T cells",4072.14636888793
"24","10","Hematopoietic cell",5330.7633227801
"25","24","Unknown",-190.009933938823
"26","33","Memory B cells",2909.81132704566
"27","6","Hepatocytes",11504.1761912745
"28","34","Beta cells",1740.78222184123
"29","25","HSC/MPP cells",1560.60874316297
"30","18","Hepatocytes",3514.68548719786
"31","27","Platelets",1464.71621556927
"32","7","Liver progenitor cell",14794.2856368444
"33","23","Liver progenitor cell",4043.43399020715
"34","26","Effector CD8+ T cells",2674.13374870724
"35","11","Hepatocytes",14151.4531999125
"36","35","Non-classical monocytes",456.446757113675
"37","36","Hepatocytes",121.44272569448
